iter	Passed	Remaining
457	819	970
458	821	968
459	823	966
460	824	964
461	825	961
462	826	959
463	828	956
464	829	954
465	830	951
466	831	949
467	833	946
468	834	944
469	835	942
470	836	939
471	838	937
472	839	935
473	840	933
474	842	930
475	843	928
476	844	925
477	845	923
478	846	921
479	848	918
480	849	916
481	850	914
482	852	912
483	853	910
484	855	908
485	856	906
486	857	903
487	859	901
488	860	898
489	861	897
490	863	894
491	864	892
492	865	890
493	867	888
494	869	886
495	870	884
496	871	882
497	873	880
498	874	878
499	876	876
500	877	873
501	878	871
502	879	869
503	881	867
504	882	865
505	884	863
506	885	861
507	886	858
508	887	856
509	889	854
510	890	852
511	891	849
512	892	847
513	894	845
514	895	843
515	896	841
516	898	839
517	899	837
518	901	835
519	902	833
520	903	830
521	905	828
522	906	826
523	907	824
524	909	822
525	910	820
526	911	818
527	913	816
528	914	814
529	915	812
530	917	810
531	918	807
532	919	805
533	920	803
534	922	801
535	923	799
536	924	797
537	925	795
538	927	793
539	929	791
540	930	789
541	931	787
542	933	785
543	934	783
544	935	781
545	936	778
546	937	776
547	939	774
548	940	772
549	941	770
550	943	768
551	945	767
552	946	765
553	947	762
554	949	760
555	950	758
556	951	756
557	953	754
558	954	752
559	955	750
560	956	748
561	958	746
562	959	745
563	961	743
564	962	741
565	964	739
566	965	737
567	966	735
568	968	733
569	969	731
570	971	729
571	974	729
572	976	727
573	977	725
574	978	723
575	980	721
576	981	719
577	983	717
578	984	715
579	985	713
580	987	712
581	988	710
582	990	708
583	992	706
584	1029	730
585	1031	728
586	1033	727
587	1036	726
588	1057	738
589	1059	735
590	1060	734
591	1062	732
592	1064	730
593	1066	728
594	1067	726
595	1071	726
596	1073	724
597	1075	722
598	1076	720
599	1078	719
600	1080	717
601	1083	716
602	1086	715
603	1088	713
604	1090	711
605	1091	709
606	1093	707
607	1094	705
608	1097	704
609	1098	702
610	1102	702
611	1104	700
612	1105	698
613	1107	696
614	1108	694
615	1110	692
616	1111	689
617	1112	687
618	1115	686
619	1117	685
620	1119	683
621	1121	681
622	1122	679
623	1124	677
624	1125	675
625	1126	673
626	1128	671
627	1129	669
628	1131	667
629	1133	665
630	1134	663
631	1135	661
632	1136	659
633	1138	657
634	1139	654
635	1140	652
636	1142	650
637	1143	648
638	1145	646
639	1147	645
640	1149	643
641	1150	641
642	1151	639
643	1153	637
644	1154	635
645	1156	633
646	1157	631
647	1159	629
648	1161	627
649	1162	626
650	1164	624
651	1165	622
652	1166	619
653	1167	617
654	1169	615
655	1170	613
656	1171	611
657	1172	609
658	1174	607
659	1175	605
660	1177	603
661	1178	601
662	1180	599
663	1181	597
664	1182	595
665	1184	593
666	1185	591
667	1186	589
668	1187	587
669	1189	585
670	1191	584
671	1192	582
672	1194	580
673	1196	578
674	1197	576
675	1198	574
676	1199	572
677	1201	570
678	1202	568
679	1203	566
680	1205	564
681	1207	562
682	1208	561
683	1210	559
684	1211	557
685	1212	555
686	1214	553
687	1215	551
688	1216	549
689	1218	547
690	1219	545
691	1221	543
692	1223	541
693	1224	540
694	1226	538
695	1227	536
696	1228	534
697	1230	532
698	1231	530
699	1233	528
700	1234	526
701	1235	524
702	1237	522
703	1239	521
704	1241	519
705	1242	517
706	1243	515
707	1245	513
708	1246	511
709	1247	509
710	1248	507
711	1250	505
712	1252	504
713	1254	502
714	1255	500
715	1256	498
716	1258	496
717	1259	494
718	1260	492
719	1261	490
720	1263	488
721	1264	486
722	1265	484
723	1267	483
724	1269	481
725	1270	479
726	1272	477
727	1273	475
728	1274	473
729	1275	471
730	1277	470
731	1278	468
732	1279	466
733	1281	464
734	1282	462
735	1284	460
736	1286	459
737	1287	457
738	1289	455
739	1290	453
740	1291	451
741	1292	449
742	1294	447
743	1295	445
744	1296	443
745	1298	442
746	1300	440
747	1302	438
748	1303	436
749	1304	434
750	1306	433
751	1307	431
